UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_1006,108,C7H11N5O4,[M + H]+,C7H11N5O4,1,44.4455973,44.4455973,0,8,0.692766854,-3.499384369,3.499384369,0.52030375,230.0885,210.47,493_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime210.47scanNumNApre,493,1
met_1013,322,C9H19N3O4,[M + H]+,C9H19N3O4,1,8.600404075,8.600404075,0,2,1,-4.468819018,4.468819018,-0.138974218,234.1448,560.05,505_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime560.05scanNumNApre,505,2
met_1020,282,C17H31N3O4,[M + H]+,C17H31N3O4,1,16.46665203,16.46665203,0,5,1,-1.829090232,1.829090232,-0.096202126,342.2387,285.72,752_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime285.72scanNumNApre,752,1
met_1026,274,C6H9NO,[M + H]+,C6H9NO,1,17.80492965,17.80492965,0,4,0.970960415,-2.905857268,2.905857268,0.086012485,112.0757,485.58,530_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime485.58scanNumNApre,530,2
met_1037,522,C23H45N2O6P,[M + H]+,C23H45N2O6P,0.875879397,10.10874305,10.10874305,0,4,1,-3.825446418,3.825446418,-3.562155456,477.3071,301.18,162_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime301.18scanNumNApre,162,1
met_1042,381,C12H24N4O5,[M + H]+,C12H24N4O5,0.996984925,24.68867596,24.68867596,0,7,0.944120672,-3.220957862,3.220957862,0.175894743,305.182,553.76,683_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime553.76scanNumNApre,683,3
met_1047,89,C21H32O7,[M + H]+,C21H32O7,1,51.2722163,51.2722163,0,10,0.900716479,-3.413216428,3.413216428,0.554309034,397.2223,62.7,73_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime62.7scanNumNAprecM,73,4
met_1055,709,C20H32N6O12S2,[M + H]+,C20H32N6O12S2,0.172361809,57.42050201,57.42050201,0,23,0.846944132,-2.778964954,2.778964954,-1.042007876,613.1586,566.35,232_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime566.35scanNumNApre,232,1
met_1057,448,C20H31FN2O8,[M + H]+,C20H31FN2O8,0.97638191,90.47763433,90.47763433,0,35,0.968894585,-1.841841648,2.511029378,1.519127983,447.2144,142.35,139_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime142.35scanNumNApre,139,2
met_1063,576,C11H13NO6,[M + Na]+,C11H13NO6,0.703015075,36.84590152,36.84590152,0,9,0.545012165,-2.574957352,2.822886784,1.41033737,278.0639,551.63,617_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime551.63scanNumNApre,617,1
met_1066,677,C18H34N2O10,[M + Na]+,C18H34N2O10,0.296984925,15.39299221,15.39299221,0,4,0.691840863,-3.267634665,3.267634665,2.241946884,461.2116,137.75,149_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime137.75scanNumNApre,149,1
met_1080,305,C12H14N2O5,[M + H]+,C12H14N2O5,1,12.01675594,12.01675594,0,3,0.971769554,-3.122462253,3.122462253,-0.179709995,267.0975,192.01,596_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime192.01scanNumNApre,596,1
met_1099,246,C11H25N5O4,[M + H]+,C11H25N5O4,1,22.0824163,22.0824163,0,11,0.994030737,-2.552646235,2.552646235,0.237058123,292.198,540.86,657_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime540.86scanNumNApre,657,1
