UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_1087,455,C10H8BNO2S,[M - H]-,C10H8BNO2S,0.995477387,20.46162817,20.46162817,0,8,0.241827683,-5.630731079,5.630731079,-2.023151396,215.0328,44.94,2118_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime44.94scanNumNAprec,2118,1
met_109,1306,C33H41N11,[M - H]-,C33H41N11,0.204522613,1,1,0,1,0,NaN,NaN,0.908176502,590.3479,135.95,2123_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime135.95scanNumNApre,2123,2
met_1092,1327,C42H39NO,[M - H]-,C42H39NO,0.181909548,1,1,0,1,0,NaN,NaN,4.213858561,572.2983,130.74,2105_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime130.74scanNumNApre,2105,1
met_1094,577,C29H55F3NO8P,[M - H]-,C29H55F3NO8P,0.97839196,6.88148508,6.88148508,0,5,0.504253423,-3.682443249,3.682443249,4.803362165,632.3575,108.34,2193_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime108.34scanNumNApre,2193,1
met_122,762,C44H89NO6,[M - H]-,C44H89NO6,0.822613065,1,1,0,1,0,NaN,NaN,-2.495136871,726.6599,426.84,251_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime426.84scanNumNApre,251,3
met_124,420,C43H80NO7P,[M - H]-,C43H80NO7P,0.99798995,36.73510733,36.73510733,0,15,0.855026498,-4.271531978,4.271531978,1.509408459,752.5611,334.3,391_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime334.3scanNumNAprec,391,5
met_1271,923,C46H81NO9,[M - H]-,C46H81NO9,0.525125628,8.563785539,8.563785539,0,4,0.177383592,-2.734739293,2.734739293,1.952072592,790.5854,162.11,625_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime162.11scanNumNApre,625,1
met_1274,395,C40H76NO10P,[M - H]-,C40H76NO10P,0.998994975,61.77389845,61.77389845,0,24,0.905096031,-3.903635898,3.903635898,2.093568293,760.515,182.51,436_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime182.51scanNumNApre,436,5
met_1313,2,C42H74NO10P,[M - H]-,C42H74NO10P,1,113.1633121,113.1633121,0,34,0.790085205,-3.564023857,3.564023857,1.204160583,782.4987,174.12,564_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime174.12scanNumNApre,564,1
met_133,24,C39H79NO5,[M - H]-,C39H79NO5,1,59.50671393,59.50671393,0,14,0.749230138,-2.917493694,3.499256221,1.79806839,640.5897,375.6,2219_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime375.6scanNumNAprec,2219,4
