UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_100,760,C43H89N2O6P,[M + H]+,C43H89N2O6P,0.993969849,9.915335626,9.915335626,0,4,0.452999641,-1.743928173,1.743928173,2.492401296,761.655,364.04,2057_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime364.04scanNumNApre,2057,2
met_1002,950,C42H85N2O6P,[M + H]+,C42H85N2O6P,0.974371859,83.72943344,83.72943344,0,27,0.832694886,-2.566094741,2.566094741,1.607351047,745.623,305.6,1863_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime305.6scanNumNAprec,1863,3
met_1003,797,C44H84NO8P,[M + H]+,C44H84NO8P,0.991457286,14.46452252,14.46452252,0,8,1,-1.734200381,1.734200381,1.485211146,786.6019,288.09,2366_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime288.09scanNumNApre,2366,2
met_1005,388,C36H68O3,[M + H]+,C36H68O3,1,45.14663979,45.14663979,0,10,0.312761298,-2.558402462,2.558402462,2.68870442,549.5256,349.54,3124_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime349.54scanNumNApre,3124,1
met_1006,717,C39H66O4,[M + Na]+,C39H66O4,0.996482412,53.29062273,53.29062273,0,7,0.25530157,-3.762443942,3.762443942,4.776771999,621.4883,210.47,4723_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime210.47scanNumNApre,4723,4
met_1013,2062,C55H84O4,[M + H]+,C55H84O4,0.250753769,6,6,0,1,0,NaN,NaN,1.188644001,809.6452,360.63,2650_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime360.63scanNumNApre,2650,3
met_1023,2232,C37H65NO7,[M + K]+,C37H65NO7,0.042211055,1,1,0,1,0,NaN,NaN,0.50186838,674.4396,153.56,1320_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime153.56scanNumNApre,1320,4
met_1034,1658,C45H85NO9,[M + H]+,C45H85NO9,0.520100503,6.745510063,6.745510063,0,7,0.441785714,-2.087767197,2.087767197,-4.345702012,784.6263,408.79,2341_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime408.79scanNumNApre,2341,1
met_1042,655,C38H67NO5,[M + H]+,C38H67NO5,0.998492462,100.1043058,100.1043058,0,22,0.767562879,-2.143867266,2.143867266,0.64559048,618.5096,274.13,4642_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime274.13scanNumNApre,4642,2
met_105,1893,C44H82NO7P,[M + H]+,C44H82NO7P,0.371859296,2.903908252,2.903908252,0,5,0.133733797,-1.725460835,2.138930139,1.734281357,768.5915,376.12,2129_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime376.12scanNumNApre,2129,4
