ppm	blank_peak	blank_intensity_flag	align_score	solera_NMR_D2O_3	aos122_ga_ms2_NMR_D2O_4	aos127_ga_ms2_NMR_D2O_5	aos129_ga_ms2_NMR_D2O_6	aos142_ga_ms2_NMR_D2O_7	aos145_ga_ms2_NMR_D2O_8	aos149_ga_ms2_NMR_D2O_9	aos25_ga_ms2_NMR_D2O_10	aos27_ga_ms3_NMR_D2O_11	aos32_ga_ms2_NMR_D2O_12	aos43_ga_ms4_NMR_D2O_13	aos46_ga_ms2_NMR_D2O_14	aos48_ga_ms2_NMR_D2O_15	aos50_ga_ms2_NMR_D2O_16	aos54_ga_bku_NMR_D2O_17	aos58_ga_ms2_NMR_D2O_18	aos65_ga_ms2_NMR_D2O_19	aos67_ga_ms2_NMR_D2O_20	aos76_ga_ms2_NMR_D2O_21	aos78_ga_ms4_NMR_D2O_22	aos127_ga_ms3_NMR_D2O_24	aos106_co_ms2_NMR_D2O_25	aos99_ga_ms2_NMR_D2O_26	aos108_ga_ms2_NMR_D2O_27	aos113_ga_ms1_NMR_D2O_28	aos115_gt_ms1_NMR_D2O_29	aos165_ga_ms2_NMR_D2O_30	aos167_ga_ms3_NMR_D2O_31	aos170_ga_ms2_NMR_D2O_32	aos173_ga_ms2_NMR_D2O_33	aos174_ga_ms2_NMR_D2O_34	aos175_ga_ms2_NMR_D2O_35	aos188_ga_ms3_NMR_D2O_36	aos192_ga_ms2_NMR_D2O_37	aos199_ga_ms2_NMR_D2O_38	aos200_ga_ms2_NMR_D2O_39	aos53_ga_ms2_NMR_D2O_40	aos56_ga_ms2_NMR_D2O_41	pooled_natural_isolate_NMR_D2O_42	pooled_pd1074_NMR_D2O_43	solera_NMR_D2O_44	solera_NMR_D2O_49	aos184_ga_ms2_NMR_D2O_50	aos185_ga_ms2_NMR_D2O_51	aos27_ga_ms4_NMR_D2O_52	aos28_ga_ms2_NMR_D2O_53	aos35_ga_ms2_NMR_D2O_54	aos36_ga_ms2_NMR_D2O_55	aos37_ga_ms2_NMR_D2O_56	aos38_ga_ms2_NMR_D2O_57	aos40_ga_ms2_NMR_D2O_58	aos42_ga_ms2_NMR_D2O_59	aos43_ga_bku_NMR_D2O_60	aos54_ga_bku2_NMR_D2O_61	aos71_ga_ms2_NMR_D2O_62	aos74_ga_ms2_NMR_D2O_63	aos69_ga_ms1_NMR_D2O_64	aos86_ga_ms2_NMR_D2O_65	aos90_ga_ms3_NMR_D2O_66	aos98_ga_ms2_NMR_D2O_67	aos99_ga_ms2_NMR_D2O_68	aos73_ga_ms2_NMR_D2O_70	aos81_ga_ms2_NMR_D2O_71	aos87_co_ms3_NMR_D2O_72	aos100_ga_ms2_NMR_D2O_73	aos96_ga_ms2_NMR_D2O_74	aos82_ga_ms2_NMR_D2O_75	aos84_ga_ms2_NMR_D2O_76	aos92_ga_ms2_NMR_D2O_77	aos93_ga_ms2_NMR_D2O_78	aos95_ga_ms2_NMR_D2O_79	aos107_ga_bku_NMR_D2O_80	aos109_ga_ms2_NMR_D2O_81	aos111_ga_ms2_NMR_D2O_82	aos116_ga_ms2_NMR_D2O_83	aos113_ga_ms1_NMR_D2O_84	aos125_ga_ms2_NMR_D2O_85	aos134_ga_ms2_NMR_D2O_86	aos140_ga_ms3_NMR_D2O_87	aos171_ga_ms2_NMR_D2O_88	aos180_ga_ms2_NMR_D2O_89	pooled_mutant_NMR_D2O_90	pooled_pd1074_NMR_D2O_91	solera_NMR_D2O_92	solera_NMR_D2O_97	aos85_ga_ms3_NMR_D2O_98	aos181_ga_ms2_NMR_D2O_99	aos193_ga_ms3_NMR_D2O_100	aos196_ga_ms2_NMR_D2O_101	aos26_ga_ms2_NMR_D2O_102	aos39_ga_ms2_NMR_D2O_103	aos41_ga_ms2_NMR_D2O_104	aos33_ga_ms2_NMR_D2O_105	aos44_ga_ms2_NMR_D2O_106	aos47_ga_ms2_NMR_D2O_107	aos49_ga_ms2_NMR_D2O_108	aos51_ga_ms2_NMR_D2O_109	aos45_ga_ms2_NMR_D2O_110	aos54_ga_ms4_NMR_D2O_111	aos66_ga_ms2_NMR_D2O_112	aos70_ga_ms2_NMR_D2O_113	aos69_ga_ms3_NMR_D2O_114	aos75_ga_ms4_NMR_D2O_115	aos79_ga_ms2_NMR_D2O_116	aos83_ga_ms2_NMR_D2O_117	aos87_ga_ms3_NMR_D2O_118	aos91_ga_ms2_NMR_D2O_119	aos101_ga_ms2_NMR_D2O_121	aos102_ga_ms3_NMR_D2O_122	aos105_co_ms2_NMR_D2O_123	aos113_ga_ms1_NMR_D2O_124	aos114_ga_ms2_NMR_D2O_125	aos118_ga_ms2_NMR_D2O_126	aos120_ga_ms2_NMR_D2O_127	aos133_ga_ms2_NMR_D2O_128	aos135_ga_ms2_NMR_D2O_129	aos140_gt_ms3_NMR_D2O_130	aos166_ga_ms2_NMR_D2O_131	aos167_ga_ms4_NMR_D2O_132	aos169_ga_ms2_NMR_D2O_133	aos197_ga_ms1_NMR_D2O_134	aos196_ga_ms3_NMR_D2O_135	aos193_ga_ms2_NMR_D2O_136	aos198_ga_ms2_NMR_D2O_137	aos88_ga_ms2_NMR_D2O_138	aos94_ga_ms2_NMR_D2O_139	aos85_ga_ms2_NMR_D2O_140	aos99_ga_ms2_NMR_D2O_141	pooled_mutant_NMR_D2O_142	pooled_pd1074_NMR_D2O_143	solera_NMR_D2O_144
ppm_0_73102	0	0	21.49	47715780.79587698	1924811386.651933	3127132423.324852	2105234289.853524	1795048481.779672	778551559.7492332	730479996.7690661	1082200254.942564	1197707774.165141	607902524.1207809	2534578000.016354	502946433.3460124	1725186619.313275	2746610023.068005	1395008693.501223	188726786.1627891	959651416.1677027	1003034054.995226	2427376432.279254	1117037393.750546	3357574759.941068	1298665021.964129	3286265909.352379	1972706549.619258	1923218919.206303	1159688171.83596	3706006876.909188	2023125621.674229	1257799080.581715	3050650258.515203	1305759903.023418	1733195885.558438	1561290791.06292	3594724266.640924	1946981052.294173	3169537088.871577	47715780.79587698	1766959219.244804	1655397850.176855	3281775822.835724	1274457329.452529	47715780.79587698	1674268650.96208	2233325473.385228	502589625.5232835	657561226.5075037	878688362.189569	57825998.68117297	808690407.7234375	1532431080.72976	1069050543.948176	2122816427.667557	694379454.5458732	2281265262.729165	799464966.1635897	1119992996.862925	762342283.0910506	1491465465.549577	2478041490.47541	2498445951.615681	2114927035.887756	893202645.3944626	1567363008.927615	1432279291.253995	2450564540.64105	2592576775.110405	1670920169.800635	1967458511.848185	2267648765.691319	541775540.6683241	817789686.0617771	684070475.9963112	719659877.0971173	1230475052.116533	1862513779.240541	703122664.7539246	1233735193.298456	1626967642.357733	1143517146.410729	1192437311.770152	481566412.5333138	2029153958.206507	2194986851.704166	47715780.79587698	2532882194.417336	1505414646.06917	3832529477.171675	2173323778.622691	1749259774.919644	2114666592.09155	2763496949.349688	1990227813.27577	422717371.8235006	1377617705.212148	1966650732.53456	2062899554.580373	2875771904.910309	2001608477.046967	1216619967.198555	541391462.4157658	521946150.4261084	669237403.0698981	2416464870.369158	3958499355.204621	1579161149.665816	317906589.3746864	775396521.7981753	775409044.7716665	694604961.8579814	2865769609.109341	1044219872.559095	5650301359.695696	1568694624.868133	1100708206.940271	1592838121.326214	1316890370.475575	1110628551.715404	938979280.7844057	1270746588.351536	631371932.7506876	1404716803.448241	1272097761.72761	1864143458.083344	947989337.9980094	1406085567.897359	3198148800.990072	986726504.3437357	1709081284.82564	1933423943.98585	1395368157.579415	1751315268.714944
ppm_0_78581	0	0	139.37	5085177568.096359	2363112355.122443	2553720170.554336	942029281.2046332	1863260112.94582	1162335773.802855	1162192873.446152	92741389.71808988	2818562930.631547	654162439.3719375	4001350762.621205	1037124851.590621	2840205099.304036	3258599915.811215	2152329096.520183	750084006.2441354	1842968055.947986	1225195156.818551	2882664541.161598	1648422110.560869	2486697344.118316	92741389.71808988	4211906093.799404	3457151443.678892	3037377367.932461	1486264354.18403	3877723806.715824	2522427062.341759	1417756547.121314	4277365971.041361	2233315332.62608	2337930596.83633	2527116926.048569	3346376339.764312	3082088838.210881	3672669187.086347	1455139538.837664	92741389.71808988	2195474872.394428	4106026130.591872	2324919584.499231	2189775468.320162	1385138640.26251	1277812827.056213	374709696.1303638	318535225.1089339	92741389.71808988	63947162.07121411	1354002229.136888	2146197735.226322	92741389.71808988	2976497712.170828	1030162885.429046	2440759464.503832	1279437710.865012	1523501415.21702	727416251.8677058	2454721152.39641	2261526420.388256	2918615604.156789	2548907717.653651	970877729.4776037	92741389.71808988	2115103119.257459	1415580422.77008	1802606609.089934	2630242177.789529	1352144370.865561	1824389146.265172	959304137.162564	1367646159.276544	1264411457.134009	635571196.0996652	1025542054.944232	2143743756.152198	1420871118.04765	1656304473.436139	1038276285.729838	1689825191.632576	1932191828.826266	576821447.3400769	2543618956.904114	2693661705.456244	1645420466.308608	4447179142.58943	92741389.71808988	3982774908.201672	3198607672.308714	2576774468.612219	3194185820.393774	3830523477.966911	92741389.71808988	849607629.7873535	2187753181.379529	92741389.71808988	3039348260.67434	2991189625.204675	2141528625.850758	2150810326.521441	1995422072.96252	972638316.2520244	1059163430.082254	1727092953.566267	4144683159.309687	1148339201.239564	784564536.1709094	897882011.1871209	1556666378.842325	1735388999.648563	1956072829.237665	1752283891.528865	1803588908.815042	1980211999.935605	2038404453.976229	1938201485.767765	1317492172.708572	1536618817.233401	2792400021.474773	1495502378.117212	1315242601.581972	1421666840.554888	1693127415.061569	3856941525.661145	1522138844.423068	2271285911.285397	2023030711.161412	1451864481.499192	1977312825.274074	2323263700.954736	1971092410.85891	2373834574.456182
ppm_0_86209	3	0	45.81	57517238980.3765	27385380055.60462	48429456280.79177	23697202575.44919	44550559075.65823	38000007333.69893	27433525154.98186	30606162384.05169	31179359433.19991	24681935329.75949	72412335077.87546	26177910599.71453	51367395535.006	28313598627.4495	39016450943.59866	50509608151.53925	28435667423.34821	28724852556.88757	54529547101.92385	45026804907.02671	49099804298.74314	22104207723.56898	41814284708.198	39881366181.59182	39767961582.99536	35725876935.98135	44734097958.91299	28153764749.7533	82196542113.53256	40924896171.44952	25975185015.96873	26302783997.10107	14620813678.0574	45610147900.13345	33836493960.38696	42422681380.22329	27145920176.23107	33371125466.89428	30380918160.36916	37249347054.07435	51501897725.09304	41306277863.85316	41634705112.74696	35967677930.85278	3928005103.237421	25396845099.39157	50597956524.6431	12933832020.99193	36008180440.62341	39090207707.79103	29748654183.45765	44362685240.17234	46325486541.89811	25845181412.62931	35144708335.37239	45841422379.73537	24201219131.98496	40933482776.43752	47351966659.86545	46835575994.79596	44320201000.04124	25093982601.05183	23319447929.94611	21337066789.53239	52892242685.43372	46859549574.55779	37317495306.47376	40501248800.90736	29737912641.96644	30289304376.25798	18420356476.04804	20044798024.61991	35576613865.86249	55334990279.573	37370147295.02721	38027334709.79055	37080088934.3615	30712098429.81827	45395898811.18238	33757731263.80689	24120058552.90795	29570364794.09482	27231324497.70411	38663783538.49741	47606962761.55809	36127185381.98869	52381165935.39581	59223049182.03165	35809978754.70371	49758915177.9698	59465931475.3841	63454278736.23765	10022647988.45348	33567101434.18111	49152309895.83957	38239301116.99483	43372727386.28876	35532419991.01291	32576310086.21061	22939346117.71795	22306558836.25331	26893521805.29563	50045297986.7533	46870173477.02078	35340509510.63725	17851711034.68527	23870067227.74133	14634635353.35034	18824679139.47128	26967521200.81201	29289701048.36761	57707303473.53446	28232919252.64621	22607588666.08787	34671911734.40729	29798609134.87395	28573058689.0075	30837615996.06333	26505903381.42576	24265742262.02913	30528878097.00616	28712778694.14207	42453128510.74611	32201263271.42975	27356518220.35893	37057874428.72967	27617706453.60322	32123445885.47605	33089185428.79016	33078863227.86367	36666341494.12939
ppm_0_89793	0	0	11.32	56985965437.29391	25505170410.24784	43701664353.71809	19882430518.16225	27515456329.97776	3458661565.092261	24619141537.77612	26983893913.18115	24020722273.39624	3458661565.092261	3458661565.092261	3458661565.092261	35125997958.66322	28693852926.69804	28625279062.8434	3458661565.092261	3458661565.092261	22458165007.36042	42000505665.67863	32923098942.68855	48684104702.69906	20472881223.06979	35402975298.95515	3458661565.092261	3458661565.092261	3458661565.092261	40906557042.02257	23951510362.66744	3458661565.092261	30872242451.41416	3458661565.092261	22662895497.07994	15532474138.73282	43827302367.73196	27290182150.54612	39563706257.82533	20654806081.93839	26459090469.69104	25373969557.68216	31444921154.17033	51440767255.97626	41441952763.8147	38960142385.19166	37235766186.82286	3463731784.780015	21813866836.67306	3458661565.092261	3458661565.092261	29529329742.75343	29928229212.90631	3458661565.092261	34382298747.82718	35193035140.78797	35955582990.3978	35131384790.13072	35060357012.38223	3458661565.092261	32503543082.86207	47986543604.60172	47303926183.78817	39532210640.20906	19839570724.64668	20758614546.56578	19712405813.26225	47945350422.3364	40778868857.2601	32750711399.16582	37479398201.17863	32247316270.76446	3458661565.092261	18603885703.4597	20525511509.77738	3458661565.092261	3458661565.092261	34813345622.34888	33330655688.41148	3458661565.092261	29830753612.16414	35587242313.94486	24212227758.7551	26369319851.05626	26356233454.44923	25463956289.53688	39134225517.77212	48171867883.02335	3458661565.092261	43670019159.30147	38774147101.62276	30096068888.44642	3458661565.092261	43760765978.51384	3458661565.092261	3458661565.092261	3458661565.092261	3458661565.092261	3458661565.092261	40224275102.47057	26331447883.24476	25294463826.17474	17949232140.47338	3458661565.092261	3458661565.092261	44737391612.79531	41822155059.55923	3458661565.092261	16666729177.24067	22956558855.30726	14459307229.562	17772969944.16188	27133945887.02819	23521559877.57692	57410679414.76927	26816897045.57188	20820299429.43726	27696824863.91083	26672329987.49423	24290846209.50964	24302558063.82148	23707493954.35665	18164250689.25142	25168917950.21484	25328141474.78133	28594775475.61032	3458661565.092261	24984890065.98933	36128335350.92309	3458661565.092261	28852496105.96172	29938079985.45615	28842098708.55307	34900180564.37643
ppm_0_90758	0	0	17.86	50022341768.9278	3608581048.988133	34774943569.23612	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	22394823061.81091	3608581048.988133	32781002109.94502	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	27941491027.2439	40401364571.08357	17118132064.16293	29806026151.40123	3608581048.988133	3608581048.988133	3608581048.988133	30154660790.72048	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	12664533312.95741	3608581048.988133	3608581048.988133	3608581048.988133	17549000208.20312	24278611443.26982	21278420009.31744	26805312716.90366	3608581048.988133	34949410136.93549	3608581048.988133	3608581048.988133	3608581048.988133	19653156040.02129	3608581048.988133	9312626136.297905	23798573723.38799	23383229067.04152	17192536076.47891	28816749502.20357	28220584615.49688	23023026169.38904	27886798054.67996	3608581048.988133	15171156912.98005	3608581048.988133	34050623941.29091	3608581048.988133	31465700804.79987	18238665266.50115	15959627443.68082	17133586035.35163	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	24226586135.33489	3608581048.988133	3608581048.988133	3608581048.988133	15239705221.6732	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	21024187080.69415	33110085823.83719	3608581048.988133	3608581048.988133	35763282860.77756	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	26265646312.9679	3608581048.988133	34336097713.59209	23254820872.44016	3608581048.988133	3608581048.988133	3608581048.988133	15935460956.64118	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	13307346473.70219	3608581048.988133	24281323863.77893	3608581048.988133	3608581048.988133	21397629212.44938	3608581048.988133	20573645114.11606	3608581048.988133	3608581048.988133	3608581048.988133	20488061291.13282	3608581048.988133	20589630198.16453	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	31019010195.34846	3608581048.988133	3608581048.988133	3608581048.988133	3608581048.988133	31434560937.69132
ppm_0_91581	0	0	16.07	47297051919.65585	4045860645.221335	35728641733.93173	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	26961572167.84321	23918776925.44629	4045860645.221335	32382881817.59326	4045860645.221335	26922903898.74712	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	39101525592.94956	17954249983.6124	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	30154660790.72048	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	25145346935.84539	21066113226.6085	4045860645.221335	4045860645.221335	33989334170.55456	30674301511.15563	27609513065.70464	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	29297865302.02119	27197027022.92994	22512779633.11567	26233639363.2264	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	31990486861.36282	19932745992.87114	15744733892.74099	17974342230.22538	4045860645.221335	4045860645.221335	4045860645.221335	32250073341.53964	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	27267988086.81448	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	22039089753.04192	31223864113.85312	4045860645.221335	4045860645.221335	37595514436.91033	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	21514126721.31383	4045860645.221335	4045860645.221335	35738406935.84371	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	13894660619.20442	4045860645.221335	25632370239.96814	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	20894574783.55187	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	32299440036.05001	4045860645.221335	4045860645.221335	4045860645.221335	4045860645.221335	31520286525.75893
ppm_0_93131	0	0	10.45	75519116598.67349	30914573132.52316	51643101135.43156	24265171465.14734	26238158783.46908	24682353964.18707	25990717439.299	32750866695.23649	32458039479.06776	20828438733.05162	44033318815.32835	18165363578.45992	34537099636.14771	28878171402.19124	33038047049.41252	30716930831.41661	6209392502.553429	23250710516.6767	45764192482.10309	39058646424.26108	47987680862.22606	23999446187.33969	43323402832.69502	31375113435.97128	31972765255.01025	22658993475.56202	43779069554.95215	27654504674.96569	39169982270.92327	36572064800.78616	21511231678.96149	25386443158.50247	14021877921.93671	29125819574.96861	27986645702.99748	42040496261.38793	24368989819.96321	30242737035.58302	27944748292.20533	37560083848.91455	45156540286.12261	47716091103.62431	38101973058.04449	39289133569.54055	6388146571.129127	27067591966.53105	6209392502.553429	6209392502.553429	33459428157.90712	33413218475.10295	23337016870.36314	40831524515.96906	35772757519.63577	38872181477.59055	38135730603.98356	48871422482.50615	19997184046.8504	32852211122.82581	56021532122.80744	47059081379.78737	45520219578.03442	25686918196.05096	19580603043.39066	23954603132.29549	55933417081.02575	54078949045.98605	32980954926.93985	42159661187.99381	42608186542.01775	22341365699.0062	16948008483.93864	23554102421.14094	25454624863.50127	40973573227.5471	36727133514.93835	35544001325.75713	39270799060.7608	32219966041.9986	42519787635.08799	29576470624.49277	21519973451.13757	34475874285.64067	32795872748.68768	39521292444.16961	47809255401.18529	32258428687.8477	52697423963.59816	48681693435.76076	40122919367.45	36360961372.72803	65967863663.485	64259583275.44818	6209392502.553429	27283620030.34375	36509807065.04476	38063185936.89314	48449905296.88715	32140966822.08638	29631649787.6109	26717674061.30505	20310513508.30901	6209392502.553429	64064549308.73122	58633304890.34738	43197970721.94051	19044413254.15342	32681034326.0593	18334421901.55984	19560914197.35721	36135918172.17433	27046601266.53626	44089636051.49582	29621122918.42889	23670908275.98901	30377151928.22939	32731675261.96857	27934049274.2457	28012032947.21543	28249255885.71458	21193095403.39765	30429202543.71084	32270911330.92896	36910153972.15533	25433382703.98755	29270031546.74737	43663222117.19312	23943801263.99069	38552776084.79729	37512434060.92846	36543396174.90518	40753895941.95776
ppm_0_94007	0	0	9.41	102081329800.5104	28670910885.37935	56184431934.22814	24541231654.41843	26263447278.14934	25122123725.373	25639991286.03452	32719511318.17049	33554805180.22535	21337757339.19802	49165870672.06709	18318302376.68214	35280979049.59769	25442946276.7789	33003839608.388	33260534443.9795	25512313616.09518	23754224834.63256	49065909959.05774	40491033930.59419	50821876447.92608	22081882062.28743	43187681683.02687	30657242344.49303	30889105040.02548	22643175571.01798	41372315239.7402	27822446840.30505	41341013067.19898	37208346407.61156	20016420033.34903	24897050522.54333	14254298389.22026	27728219069.05242	26106779462.32569	40760780516.78014	23967044026.74073	28423485418.98632	27228780053.11884	37878890144.75447	50594738626.09833	59845363267.75703	39513420671.66125	39878458714.85686	7874512957.498697	27781288298.59211	57376454542.92828	12698180999.43851	33469781319.4752	33622843039.08564	23613962381.50539	43770415310.48049	39977444105.52512	32332056507.54868	39074463350.51324	53430259687.26083	20892919501.24787	32359602185.47617	54445823251.68774	48088249446.26263	45683823156.94364	26582791717.33441	17961320498.09671	22606579469.85694	57550040912.67674	58298598478.13819	7789805768.569606	44373341729.24651	42633164866.9494	22429481360.05544	16170708556.42664	22075896740.18088	27634121595.03558	43711469859.46108	34630501593.05699	34515185182.35408	39013116485.01243	32940391973.5	43016321674.73164	29012745062.51767	22625172747.19321	34714197018.76604	31690426622.38744	46066375354.74949	55972194546.23281	7789805768.569606	58233521742.26044	45962032056.62099	39616309080.23067	36761913470.30068	73076318059.23134	72012573264.8139	10412627744.2245	26879505164.69208	38623878578.36821	37361618464.36583	51268291883.09387	31313097458.14051	28425319007.15861	27298911480.29684	20683590009.70911	22983901902.90936	67865988987.42042	58789094468.44155	46677781636.36545	18516081898.09039	33284534432.80544	17768351288.9451	19058615058.90628	38377917764.31733	25970809735.26875	43645641659.15633	27612328531.40926	22574773433.64043	31157469241.81779	32692109690.44406	28451012505.08343	26693031563.76855	28437539600.76913	20243465016.88528	30760267610.40449	31825906031.56067	34015298368.08177	24898491222.55047	28437275650.95323	46373719104.02554	23851650283.8155	38763392039.11107	37755182250.27156	37072201869.44597	46032320532.56586
ppm_0_95113	0	0	22.79	129250675071.7627	24657752679.88244	61074334839.95117	21023930332.44353	7190503820.438911	7190503820.438911	7190503820.438911	26707454525.92556	26907339665.67487	7190503820.438911	45019708404.76447	7190503820.438911	30892932842.94669	20454464260.35393	7190503820.438911	29669834538.76073	7190503820.438911	21527426694.671	44426533524.81277	34238841119.24844	54838457151.6059	19432116036.80246	37112206654.28154	7190503820.438911	7190503820.438911	7190503820.438911	37718022471.90678	23176341820.91771	38101772528.75362	32995802972.18483	7190503820.438911	21624417120.06933	13770986993.74155	28636043293.21239	7190503820.438911	37011856562.42343	19064354241.64309	22963542268.39009	22969209481.21418	32019405423.91782	55418671117.02256	70419773557.84032	33405229118.78823	38380634946.03488	8599639815.230648	22160221290.84546	48329981843.0165	7190503820.438911	28077494526.41665	29318699755.22356	7190503820.438911	37980060348.33425	37982431233.89787	36341231283.1235	40462234861.66512	47210699333.96589	7190503820.438911	7190503820.438911	52194803687.44937	41497128558.38121	39676103869.98047	22318418592.08476	15846307139.70701	19987514908.46741	50318842020.78568	50131591736.26806	7190503820.438911	36298001135.77961	40141242378.35281	21869370217.19593	14606434242.54421	20538510823.20486	28598078448.54744	41709224620.49945	29289556943.98832	7190503820.438911	7190503820.438911	30574677916.68541	36597718998.32336	7190503820.438911	22871219575.60986	28357178599.1871	27878946611.85854	52712407904.3886	65837143363.41229	7190503820.438911	52708121009.30199	7190503820.438911	32296868285.72175	7190503820.438911	59743721699.34962	58187914763.06418	7190503820.438911	7190503820.438911	33047694615.7351	30562300689.59687	44002324398.71045	7190503820.438911	7190503820.438911	24358649450.56399	7190503820.438911	7190503820.438911	61316650459.79937	51096078525.63084	44348457189.22706	17861603221.9902	30341130863.70118	15960837721.07409	17802908170.49242	33513888843.18866	7190503820.438911	41066980767.13588	23369872661.30412	20529491042.46658	29238786402.7676	29092442677.38372	25062301676.62927	23424736963.00932	23915695660.6111	7190503820.438911	26663594274.16829	26593672146.11088	7190503820.438911	7190503820.438911	25066425021.77463	41490015605.48355	7190503820.438911	32987725953.66046	31908282545.07861	30681575983.69503	50124178920.01449
ppm_0_96267	0	0	12.47	146623419138.1584	22643524859.94804	62862091747.38806	18849966481.16116	19355993994.32478	5306911967.533333	18316852236.43654	25928167798.66863	26301376634.89597	5306911967.533333	40189030397.68434	5306911967.533333	26551255614.86081	18991886512.31979	5306911967.533333	25467054806.81773	5306911967.533333	19188473926.05655	41013928607.45745	29017112079.07944	57085714201.29142	19614458884.66221	34441696995.3395	19949281905.56927	5306911967.533333	5306911967.533333	36699231876.85098	21507763905.77745	32604799671.38085	29966160583.90469	5306911967.533333	20303785087.45907	13943189915.12173	31843539818.76074	18275229796.41623	37630824176.86716	17627365988.40926	22289672863.84342	21879736049.35861	29611796465.26487	55596446656.89825	74922365447.17343	31673044283.58945	40432368727.25169	8752819049.061272	20257334472.64415	39810739105.62733	5306911967.533333	25103852943.06013	27589272594.16045	5306911967.533333	35576215415.05236	37083215726.5726	42060134547.67232	41578276486.82148	42802302531.46597	13803477420.8022	22947857314.79928	53953517271.30054	40891902764.00314	38112869210.42231	21315964405.66703	15135214826.91456	19855494022.06369	49343658491.27723	46867377358.80002	5306911967.533333	32322856494.11973	41728287121.10646	22112951070.182	15016252043.79807	22362813191.52562	29970594063.62865	45335468207.94987	25672954422.71054	23175987126.38352	25563622839.55911	31068117146.52668	31354837988.46325	20044692720.88679	24948936835.44894	26400976172.563	27751044419.68232	56900114343.90191	71262320782.58382	5306911967.533333	49677937565.14706	31866755282.40503	29792032023.50184	24290170798.58954	57591848271.47391	49885506037.8325	5306911967.533333	5306911967.533333	27795658603.85596	28043335583.43719	42184920867.66196	19895237309.42222	5306911967.533333	24147311863.20425	5306911967.533333	5306911967.533333	62085719216.13503	50249958819.7273	47840855045.68735	18535014818.7951	33824981112.28212	17024667658.16014	18308376794.35258	37060029324.17686	17057418004.61303	39863477072.69496	21109013634.13526	19157042809.01563	27164988960.81132	28073799392.90189	22781767294.34145	21582887486.55817	22163241864.55925	13671760658.0371	23966945861.30401	25655648861.19688	24128340341.18903	5306911967.533333	23751556774.85211	40544152379.92447	5306911967.533333	31136157905.96403	30076155460.33842	28233046689.61656	52065093597.13563
