set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
1,1,A1,1,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
1,1,A2,2,nmr1,extraction_blank_d20,extraction_blank_d20,D2O,noesypr1d
1,1,A3,3,nmr2,solera,solera,D2O,noesypr1d
1,1,A4,4,nmr3,RB2011,aos122_ga_ms2,D2O,noesypr1d
1,1,A5,5,nmr4,CX11314,aos127_ga_ms2,D2O,noesypr1d
1,1,A6,6,nmr5,PD1074,aos129_ga_ms2,D2O,noesypr1d
1,1,A7,7,nmr6,CB4856,aos142_ga_ms2,D2O,noesypr1d
1,1,A8,8,nmr7,CB4856,aos145_ga_ms2,D2O,noesypr1d
1,1,A9,9,nmr8,PD1074,aos149_ga_ms2,D2O,noesypr1d
1,1,A10,10,nmr9,CX11314,aos25_ga_ms2,D2O,noesypr1d
1,1,A11,11,nmr10,PD1074,aos27_ga_ms3,D2O,noesypr1d
1,1,A12,12,nmr11,RB2011,aos32_ga_ms2,D2O,noesypr1d
1,1,B1,13,nmr12,PD1074,aos43_ga_ms4,D2O,noesypr1d
1,1,B2,14,nmr13,DL238,aos46_ga_ms2,D2O,noesypr1d
1,1,B3,15,nmr14,N2,aos48_ga_ms2,D2O,noesypr1d
1,1,B4,16,nmr15,DL238,aos50_ga_ms2,D2O,noesypr1d
1,1,B5,17,nmr16,PD1074,aos54_ga_bku,D2O,noesypr1d
1,1,B6,18,nmr17,N2,aos58_ga_ms2,D2O,noesypr1d
1,1,B7,19,nmr18,DL238,aos65_ga_ms2,D2O,noesypr1d
1,1,B8,20,nmr19,N2,aos67_ga_ms2,D2O,noesypr1d
1,1,B9,21,nmr20,CX11314,aos76_ga_ms2,D2O,noesypr1d
1,1,B10,22,nmr21,PD1074,aos78_ga_ms4,D2O,noesypr1d
1,1,B11,23,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
1,2,B12,24,nmr24,CX11314,aos127_ga_ms3,D2O,noesypr1d
1,2,C1,25,nmr25,N2,aos106_co_ms2,D2O,noesypr1d
1,2,C2,26,nmr26,PD1074,aos99_ga_ms2,D2O,noesypr1d
1,2,C3,27,nmr27,RB2011,aos108_ga_ms2,D2O,noesypr1d
1,2,C4,28,nmr28,PD1074,aos113_ga_ms1,D2O,noesypr1d
1,2,C5,29,nmr29,CB4856,aos115_gt_ms1,D2O,noesypr1d
1,2,C6,30,nmr30,DL238,aos165_ga_ms2,D2O,noesypr1d
1,2,C7,31,nmr31,PD1074,aos167_ga_ms3,D2O,noesypr1d
1,2,C8,32,nmr32,CB4856,aos170_ga_ms2,D2O,noesypr1d
1,2,C9,33,nmr33,RB2011,aos173_ga_ms2,D2O,noesypr1d
1,2,C10,34,nmr34,DL238,aos174_ga_ms2,D2O,noesypr1d
1,2,C11,35,nmr35,CX11314,aos175_ga_ms2,D2O,noesypr1d
1,2,C12,36,nmr36,PD1074,aos188_ga_ms3,D2O,noesypr1d
1,2,D1,37,nmr37,DL238,aos192_ga_ms2,D2O,noesypr1d
1,2,D2,38,nmr38,CX11314,aos199_ga_ms2,D2O,noesypr1d
1,2,D3,39,nmr39,PD1074,aos200_ga_ms2,D2O,noesypr1d
1,2,D4,40,nmr40,PD1074,aos53_ga_ms2,D2O,noesypr1d
1,2,D5,41,nmr41,N2,aos56_ga_ms2,D2O,noesypr1d
1,2,D6,42,pooled_natural_isolate,pooled_natural_isolate,pooled_natural_isolate,D2O,noesypr1d
